Node,Energy_Type,Period,Type,Value
Germany,Liginiteexisting,1,Generation,19106.0
Germany,Liginiteexisting,2,Generation,11757.538461538463
Germany,Liginiteexisting,3,Generation,7899.596153846153
Germany,Liginiteexisting,4,Generation,5511.346153846153
Germany,Liginiteexisting,5,Generation,3821.1999999999994
Germany,Liginiteexisting,6,Generation,955.3000000000009
Germany,Liginiteexisting,7,Generation,0.0
Germany,Liginiteexisting,8,Generation,0.0
Germany,Lignite,1,Generation,6.316288423532289e-16
Germany,Lignite,2,Generation,1.7317217764041757e-15
Germany,Lignite,3,Generation,2.4556440945732237e-15
Germany,Lignite,4,Generation,3.594794121878113e-15
Germany,Lignite,5,Generation,4.121384762489433e-15
Germany,Lignite,6,Generation,4.865453723072838e-15
Germany,Lignite,7,Generation,5.665804459159717e-15
Germany,Lignite,8,Generation,7.253347160973368e-15
Germany,LigniteCCSadv,1,Generation,0.0
Germany,LigniteCCSadv,2,Generation,0.0
Germany,LigniteCCSadv,3,Generation,0.0
Germany,LigniteCCSadv,4,Generation,0.0
Germany,LigniteCCSadv,5,Generation,0.0
Germany,LigniteCCSadv,6,Generation,0.0
Germany,LigniteCCSadv,7,Generation,0.0
Germany,LigniteCCSadv,8,Generation,0.0
Germany,Coalexisting,1,Generation,18830.0
Germany,Coalexisting,2,Generation,11587.692307692309
Germany,Coalexisting,3,Generation,7785.480769230769
Germany,Coalexisting,4,Generation,5431.730769230769
Germany,Coalexisting,5,Generation,3765.999999999999
Germany,Coalexisting,6,Generation,941.5000000000008
Germany,Coalexisting,7,Generation,0.0
Germany,Coalexisting,8,Generation,0.0
Denmark,Coalexisting,1,Generation,3165.0
Denmark,Coalexisting,2,Generation,1947.6923076923078
Denmark,Coalexisting,3,Generation,1308.605769230769
Denmark,Coalexisting,4,Generation,912.9807692307692
Denmark,Coalexisting,5,Generation,632.9999999999999
Denmark,Coalexisting,6,Generation,158.25000000000014
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
France,Coalexisting,1,Generation,1817.0
France,Coalexisting,2,Generation,1118.1538461538462
France,Coalexisting,3,Generation,751.2596153846154
France,Coalexisting,4,Generation,524.1346153846154
France,Coalexisting,5,Generation,363.3999999999999
France,Coalexisting,6,Generation,90.85000000000008
France,Coalexisting,7,Generation,0.0
France,Coalexisting,8,Generation,0.0
Germany,Coal,1,Generation,4.757381100771279e-16
Germany,Coal,2,Generation,1.349512974154478e-15
Germany,Coal,3,Generation,1.7949086917203507e-15
Germany,Coal,4,Generation,2.906422569898216e-15
Germany,Coal,5,Generation,4.403257160443714e-15
Germany,Coal,6,Generation,6.255959928185012e-15
Germany,Coal,7,Generation,7.622506566846082e-15
Germany,Coal,8,Generation,8.504312315996734e-15
Denmark,Coal,1,Generation,5.932680985798614e-16
Denmark,Coal,2,Generation,1.1465342840089023e-15
Denmark,Coal,3,Generation,2.197971548381364e-15
Denmark,Coal,4,Generation,2.7864290011433103e-15
Denmark,Coal,5,Generation,3.646008004137209e-15
Denmark,Coal,6,Generation,4.7730743041371985e-15
Denmark,Coal,7,Generation,6.516678081788417e-15
Denmark,Coal,8,Generation,9.71986463183956e-15
France,Coal,1,Generation,4.029126938569245e-16
France,Coal,2,Generation,1.0953326656304195e-15
France,Coal,3,Generation,1.975826205055234e-15
