Node,Energy_Type,Period,Type,Value
Germany,Liginiteexisting,1,Generation,19106.0
Germany,Liginiteexisting,2,Generation,11757.538461538463
Germany,Liginiteexisting,3,Generation,7899.596153846153
Germany,Liginiteexisting,4,Generation,5511.346153846153
Germany,Liginiteexisting,5,Generation,3821.1999999999994
Germany,Liginiteexisting,6,Generation,955.3000000000009
Germany,Liginiteexisting,7,Generation,0.0
Germany,Liginiteexisting,8,Generation,0.0
Germany,Lignite,1,Generation,1.2971151035471094e-14
Germany,Lignite,2,Generation,1.3584235400707826e-13
Germany,Lignite,3,Generation,1.5589794296816424e-13
Germany,Lignite,4,Generation,2.0477747591121047e-13
Germany,Lignite,5,Generation,2.647091234713575e-13
Germany,Lignite,6,Generation,2.82122671779812e-13
Germany,Lignite,7,Generation,2.9680844257480136e-13
Germany,Lignite,8,Generation,3.0541508678131815e-13
Germany,LigniteCCSadv,1,Generation,0.0
Germany,LigniteCCSadv,2,Generation,0.0
Germany,LigniteCCSadv,3,Generation,0.0
Germany,LigniteCCSadv,4,Generation,0.0
Germany,LigniteCCSadv,5,Generation,0.0
Germany,LigniteCCSadv,6,Generation,0.0
Germany,LigniteCCSadv,7,Generation,0.0
Germany,LigniteCCSadv,8,Generation,0.0
Germany,Coalexisting,1,Generation,18830.0
Germany,Coalexisting,2,Generation,11587.692307692309
Germany,Coalexisting,3,Generation,7785.480769230769
Germany,Coalexisting,4,Generation,5431.730769230769
Germany,Coalexisting,5,Generation,3765.999999999999
Germany,Coalexisting,6,Generation,941.5000000000008
Germany,Coalexisting,7,Generation,0.0
Germany,Coalexisting,8,Generation,0.0
Denmark,Coalexisting,1,Generation,3165.0
Denmark,Coalexisting,2,Generation,1947.6923076923078
Denmark,Coalexisting,3,Generation,1308.605769230769
Denmark,Coalexisting,4,Generation,912.9807692307692
Denmark,Coalexisting,5,Generation,632.9999999999999
Denmark,Coalexisting,6,Generation,158.25000000000014
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
France,Coalexisting,1,Generation,1817.0
France,Coalexisting,2,Generation,1118.1538461538462
France,Coalexisting,3,Generation,751.2596153846154
France,Coalexisting,4,Generation,524.1346153846154
France,Coalexisting,5,Generation,363.3999999999999
France,Coalexisting,6,Generation,90.85000000000008
France,Coalexisting,7,Generation,0.0
France,Coalexisting,8,Generation,0.0
Germany,Coal,1,Generation,2.2805680239445277e-14
Germany,Coal,2,Generation,4.2426769350601546e-14
Germany,Coal,3,Generation,1.1309616069967515e-13
Germany,Coal,4,Generation,1.0253178063993149e-11
Germany,Coal,5,Generation,1.0267877968224004e-11
Germany,Coal,6,Generation,1.0295308949273856e-11
Germany,Coal,7,Generation,1.0309567171551902e-11
Germany,Coal,8,Generation,1.0388708762855849e-11
Denmark,Coal,1,Generation,2.7143493089191426e-14
Denmark,Coal,2,Generation,5.089280112871167e-14
Denmark,Coal,3,Generation,7.117400225021637e-14
Denmark,Coal,4,Generation,1.023670773366045e-13
Denmark,Coal,5,Generation,1.2670849456642955e-13
Denmark,Coal,6,Generation,1.6124602727404123e-13
Denmark,Coal,7,Generation,1.8743731767007633e-13
Denmark,Coal,8,Generation,2.1260616517681257e-13
France,Coal,1,Generation,2.751587719413443e-14
France,Coal,2,Generation,5.572718669913325e-14
France,Coal,3,Generation,1.863674065620416e-13
